,Date,Route,Attempted,Succeeded,Success Percentage,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG,Solar Radiation AVG
0,2014-09-23,Disappointment Cleaver,11,0,0.0,32.85733333,100.0,65.11066667,254.27333330000002,16.5938
1,2014-09-24,Disappointment Cleaver,12,0,0.0,29.70291667,100.0,45.915,278.0541667,37.87370833
2,2014-09-25,Disappointment Cleaver,14,8,0.5714285714285714,26.82375,99.85416667,3.166208333,278.6041667,142.69891669999998
3,2014-09-26,Disappointment Cleaver,41,19,0.4634146341463415,28.23833333,100.0,0.897625,259.6458333,114.40083329999999
4,2014-09-27,Disappointment Cleaver,44,25,0.5681818181818182,33.31875,60.20041667,7.140916667000001,116.29458329999999,227.597125
5,2014-09-27,glacier only - no summit attempt,11,11,1.0,33.31875,60.20041667,7.140916667000001,116.29458329999999,227.597125
6,2014-09-28,Disappointment Cleaver,23,6,0.2608695652173913,43.03291667,12.3635,4.85875,193.0470833,226.7194583
7,2014-09-29,Disappointment Cleaver,2,0,0.0,35.29625,47.83875,12.22416667,251.7155,161.2810833
8,2014-10-04,Kautz Glacier,2,0,0.0,42.99875,59.25791667,9.26775,171.1059583,125.34208329999998
9,2014-10-04,Disappointment Cleaver,1,1,1.0,42.99875,59.25791667,9.26775,171.1059583,125.34208329999998
10,2014-10-06,Disappointment Cleaver,1,0,0.0,45.065,52.67708333,2.452583333,165.3111667,195.5275
11,2014-11-09,Nisqually Glacier,2,0,0.0,21.96875,89.15416667,24.14166667,245.4,78.41325
12,2014-12-13,Gibralter Ledges,3,0,0.0,8.911,93.5125,0.0,244.9541667,42.76745833
13,2015-01-23,Disappointment Cleaver,2,0,0.0,28.25125,92.37875,20.88708333,264.9333333,0.0
14,2015-01-24,Ingraham Direct,4,0,0.0,35.25083333,59.77291667,18.04845833,271.59166669999996,3.09375
15,2015-01-24,Gibralter Ledges,4,0,0.0,35.25083333,59.77291667,18.04845833,271.59166669999996,3.09375
16,2015-01-25,Gibralter Ledges,2,0,0.0,37.7425,45.37166667,41.44083333,274.6958333,0.0
17,2015-01-28,Gibralter Ledges,2,2,1.0,23.08625,22.53516667,9.464208333,207.66745830000002,0.0
18,2015-01-29,Gibralter Ledges,14,6,0.42857142857142855,24.57416667,75.43125,7.395958332999999,266.0908333,0.0
19,2015-01-29,Fuhrer's Finger,3,0,0.0,24.57416667,75.43125,7.395958332999999,266.0908333,0.0
20,2015-01-30,Ingraham Direct,5,2,0.4,27.86,23.49420833,4.405791667,232.66575,0.0
21,2015-01-30,Gibralter Ledges,3,0,0.0,27.86,23.49420833,4.405791667,232.66575,0.0
22,2015-01-31,Gibralter Ledges,3,0,0.0,28.02,27.65333333,10.29258333,212.0725417,0.0
23,2015-02-13,Fuhrer's Finger,2,0,0.0,32.82541667,40.39291667,24.52683333,268.05,0.033083333
24,2015-02-14,Little Tahoma,2,0,0.0,25.71791667,25.54841667,12.4985,246.7392083,0.144166667
25,2015-02-14,Ingraham Direct,8,0,0.0,25.71791667,25.54841667,12.4985,246.7392083,0.144166667
26,2015-02-14,Gibralter Ledges,7,0,0.0,25.71791667,25.54841667,12.4985,246.7392083,0.144166667
27,2015-02-15,Gibralter Ledges,4,0,0.0,29.96458333,14.36895833,8.729708333,144.03375,2.338375
28,2015-02-20,Gibralter Ledges,8,0,0.0,19.60166667,26.91291667,13.95104167,140.93625,0.0
29,2015-02-21,Fuhrer's Finger,2,0,0.0,11.92791667,47.75208333,17.233,100.5295833,0.0
30,2015-02-21,Gibralter Ledges,2,0,0.0,11.92791667,47.75208333,17.233,100.5295833,0.0
31,2015-02-21,Unknown,3,0,0.0,11.92791667,47.75208333,17.233,100.5295833,0.0
32,2015-02-22,Gibralter Ledges,9,3,0.3333333333333333,21.1575,18.090999999999998,18.71625,115.95833329999999,0.0
33,2015-02-22,Ingraham Direct,6,0,0.0,21.1575,18.090999999999998,18.71625,115.95833329999999,0.0
34,2015-02-27,Gibralter Ledges,3,0,0.0,12.06366667,95.17916667,15.758875,253.9966667,0.0
35,2015-03-05,Fuhrer's Finger,7,4,0.5714285714285714,29.34916667,26.28670833,4.898791667,181.6716667,10.899125
36,2015-03-05,Disappointment Cleaver,2,0,0.0,29.34916667,26.28670833,4.898791667,181.6716667,10.899125
37,2015-03-06,Ingraham Direct,2,0,0.0,30.76583333,29.75333333,12.09995833,266.51375,0.0
